Wall time,Step,Value
1629387531.790912,0,681.0
1629388356.819616,1,694.0
1629389152.7927473,2,786.0
1629389757.2355716,3,557.0
1629390214.5589,4,449.0
1629390628.6251535,5,482.0
1629391051.1478329,6,503.0
1629391720.5170937,7,754.0
1629392244.651121,8,656.0
1629392781.870987,9,751.0
1629393219.9321404,10,672.0
1629393935.866449,11,1141.0
1629394612.8662174,12,1111.0
1629395260.956985,13,1075.0
1629395874.5923517,14,1144.0
1629396401.2509563,15,1115.0
1629396942.6021278,16,1104.0
1629397466.3071935,17,1102.0
1629397947.3669813,18,1103.0
1629398390.1611652,19,1114.0
1629398831.740729,20,1091.0
1629399263.2419195,21,1103.0
1629399701.6558278,22,1110.0
1629400097.0725627,23,1093.0
1629400500.3886917,24,1119.0
1629400889.1767673,25,1102.0
1629401278.1499777,26,1081.0
1629401675.754978,27,1125.0
1629402077.0959585,28,1087.0
1629402491.1572373,29,1092.0
1629402903.1326942,30,1125.0
1629403296.3747668,31,1080.0
1629403706.3410313,32,1099.0
1629404095.950415,33,1111.0
1629404453.7270365,34,1103.0
1629404790.1857932,35,1084.0
1629405134.2530115,36,1126.0
1629405460.3234138,37,1094.0
1629405791.7560744,38,1109.0
1629406127.1400697,39,1090.0
1629406449.0357637,40,1100.0
1629406776.8745375,41,1097.0
1629407090.574504,42,1099.0
1629407413.9296896,43,1109.0
1629407718.8450375,44,1105.0
1629408021.8669727,45,1093.0
1629408345.0613477,46,1097.0
1629408638.485149,47,1102.0
1629408933.8448923,48,1106.0
1629409236.140049,49,1089.0
1629409537.5196106,50,1107.0
1629409839.2757733,51,1102.0
1629410146.1267102,52,1101.0
1629410438.5528235,53,1093.0
1629410723.9831877,54,1110.0
1629411024.0896766,55,1086.0
1629411320.9429832,56,1111.0
1629411611.2899523,57,1108.0
1629411903.8459077,58,1090.0
1629412187.9024217,59,1104.0
1629412473.506615,60,1100.0
1629412759.094863,61,1109.0
1629413037.1985137,62,1102.0
1629413323.4234786,63,1088.0
1629413593.1253326,64,1112.0
1629413870.6945002,65,1077.0
1629414157.6209743,66,1113.0
1629414435.2962422,67,1099.0
1629414709.5938058,68,1099.0
1629414991.6105692,69,1099.0
1629415269.2493753,70,1104.0
1629415532.7205946,71,1091.0
1629415792.1459308,72,1108.0
1629416058.9531627,73,1100.0
1629416327.1756403,74,1101.0
1629416576.7124178,75,1097.0
1629416827.1540194,76,1091.0
1629417100.7205665,77,1117.0
1629417369.6764724,78,1096.0
1629417636.5640857,79,1099.0
1629417848.5229475,80,1103.0
1629418109.7397044,81,1103.0
1629418369.6081014,82,1095.0
1629418643.7664535,83,1092.0
1629418911.9380841,84,1094.0
1629419176.9335787,85,1116.0
1629419438.5306654,86,1093.0
1629419702.7069674,87,1091.0
1629419959.7272139,88,1112.0
1629420218.8097525,89,1095.0
1629420474.116647,90,1104.0
1629420708.9205265,91,1106.0
1629420952.2553818,92,1097.0
1629421212.238747,93,1090.0
1629421440.2131867,94,1109.0
1629421693.8546946,95,1110.0
1629421925.353461,96,1093.0
1629422130.2186947,97,1084.0
1629422384.7224038,98,1112.0
1629422601.2510915,99,1088.0
1629422858.0527177,100,1110.0
1629423116.1383498,101,1114.0
1629423370.7867367,102,1096.0
1629423627.982582,103,1082.0
1629423888.1200259,104,1112.0
1629424145.8675458,105,1102.0
1629424390.0488193,106,1107.0
1629424636.6526601,107,1093.0
1629424892.815642,108,1083.0
1629425138.2431512,109,1119.0
1629425379.7456996,110,1095.0
1629425635.1156247,111,1106.0
1629425886.6785445,112,1087.0
1629426140.366127,113,1107.0
1629426375.3725321,114,1090.0
1629426621.9881563,115,1096.0
1629426824.1744974,116,1120.0
1629427065.4154747,117,1095.0
1629427313.0328894,118,1100.0
1629427555.6795819,119,1099.0
1629427812.633059,120,1091.0
1629428051.7391682,121,1100.0
1629428301.9946249,122,1109.0
1629428550.305274,123,1104.0
1629428797.0512383,124,1091.0
1629429045.3816657,125,1090.0
1629429290.9529192,126,1112.0
1629429524.3565757,127,1103.0
1629429747.8865151,128,1104.0
1629429947.7406764,129,1097.0
1629430187.6332157,130,1102.0
1629430400.173907,131,1091.0
1629430630.5736241,132,1105.0
1629430875.0996513,133,1105.0
1629431121.3789322,134,1096.0
1629431358.9110196,135,1109.0
1629431597.195021,136,1089.0
1629431841.6276264,137,1103.0
1629432081.0875285,138,1099.0
1629432320.0835323,139,1110.0
1629432564.9526477,140,1106.0
1629432801.5876973,141,1084.0
1629433037.835232,142,1098.0
1629433280.5657167,143,1104.0
1629433512.738021,144,1099.0
1629433767.7123103,145,1105.0
1629434017.9467647,146,1093.0
1629434274.1273086,147,1093.0
1629434535.363721,148,1121.0
1629434781.478445,149,1088.0
1629435035.2745442,150,1108.0
1629435287.0072613,151,1101.0
1629435539.1659808,152,1094.0
1629435780.4012592,153,1102.0
1629436022.6274648,154,1093.0
1629436268.3589487,155,1107.0
1629436501.8527913,156,1103.0
1629436731.4197152,157,1103.0
1629436976.8768587,158,1092.0
1629437216.048434,159,1093.0
1629437452.3092089,160,1111.0
1629437677.3430204,161,1092.0
1629437899.686261,162,1090.0
