Wall time,Step,Value
1629209798.5115185,0,135.0
1629210303.3207984,1,165.0
1629210834.491768,2,178.0
1629211375.1402013,3,163.0
1629211900.2374737,4,140.0
1629212505.4197123,5,157.0
1629213078.8439322,6,143.0
1629213663.7543833,7,165.0
1629214154.1130378,8,139.0
1629214746.0494795,9,129.0
1629215301.4000077,10,135.0
1629215915.6525984,11,117.0
1629216522.390156,12,104.0
1629217089.347909,13,116.0
1629217716.0368223,14,136.0
1629218327.987969,15,146.0
1629218923.251896,16,171.0
1629219524.329361,17,166.0
1629220152.1914556,18,174.0
1629220766.6279228,19,131.0
1629221297.1158733,20,94.0
1629221885.6284769,21,159.0
1629222505.352336,22,206.0
1629223104.5780065,23,192.0
1629223711.4444013,24,169.0
1629224296.2117238,25,161.0
1629224709.547698,26,164.0
1629225284.6115818,27,170.0
1629225863.5849028,28,180.0
1629226506.4857862,29,226.0
1629227077.3015847,30,204.0
1629227664.5121734,31,193.0
1629228251.01615,32,159.0
1629228839.2676332,33,192.0
1629229481.2605038,34,196.0
1629230092.110869,35,268.0
1629230648.9417987,36,245.0
1629231172.5791175,37,412.0
1629231709.227535,38,442.0
1629232275.0043733,39,396.0
1629232847.6364126,40,403.0
1629233402.6326387,41,371.0
1629233969.9028566,42,407.0
1629234534.6742368,43,434.0
1629235118.6076028,44,465.0
1629235708.9014096,45,430.0
1629236287.6464016,46,444.0
1629236834.8733041,47,495.0
1629237393.506503,48,376.0
1629237957.5979693,49,380.0
1629238497.7926536,50,348.0
1629239025.3517632,51,409.0
1629239603.828927,52,537.0
1629240100.6005104,53,469.0
1629240614.1122339,54,513.0
1629241242.8067217,55,594.0
1629241821.7919948,56,560.0
1629242466.8608034,57,679.0
1629243034.112247,58,552.0
1629243627.5794294,59,579.0
1629244242.3994045,60,644.0
1629244863.1346698,61,551.0
1629245487.3274093,62,531.0
1629246087.8597255,63,627.0
1629246733.6077192,64,718.0
1629247315.7788367,65,758.0
1629247868.5669215,66,806.0
1629248439.7540631,67,888.0
1629249022.6497185,68,889.0
1629249600.531586,69,849.0
1629250175.7073011,70,941.0
1629250778.5202537,71,952.0
1629251360.3711135,72,932.0
1629251931.0408967,73,984.0
1629252491.262808,74,1015.0
1629253039.024335,75,949.0
1629253654.3008788,76,948.0
1629254255.3485827,77,947.0
1629254827.9141507,78,1003.0
1629255369.1729443,79,1024.0
1629255931.2697566,80,1027.0
1629256484.7403939,81,1025.0
1629257036.930175,82,1048.0
1629257559.8676558,83,985.0
1629258103.5192275,84,1068.0
1629258637.2688134,85,1046.0
1629259136.819009,86,1089.0
1629259660.721185,87,1096.0
1629260154.6594946,88,1020.0
1629260685.561224,89,1078.0
1629261219.3835876,90,1089.0
1629261742.5449452,91,1096.0
1629262275.29102,92,1107.0
1629262793.2261968,93,1040.0
1629263284.0209613,94,1110.0
1629263744.1562781,95,1103.0
1629264202.149053,96,1080.0
1629264629.0962577,97,1116.0
1629265120.1325853,98,1098.0
1629265591.408339,99,1094.0
1629266096.1194468,100,1047.0
1629266575.9525795,101,1136.0
1629267005.0433106,102,1086.0
1629267485.5912323,103,1104.0
1629267935.5822804,104,1095.0
1629268403.2619166,105,1102.0
1629268872.693131,106,1096.0
1629269327.733497,107,1124.0
1629269741.3419535,108,1072.0
1629270197.67699,109,1084.0
1629270641.0862353,110,1114.0
1629271072.2782965,111,1101.0
1629271500.7978294,112,1098.0
1629271934.5125637,113,1121.0
1629272387.517624,114,1090.0
1629272819.6999128,115,1103.0
1629273271.5424395,116,1104.0
1629273722.4421232,117,1095.0
1629274174.5249922,118,1127.0
1629274608.6252449,119,1093.0
1629275027.4033864,120,1069.0
1629275457.8653224,121,1117.0
1629275885.3852236,122,1097.0
1629276318.929621,123,1091.0
1629276750.314274,124,1108.0
1629277169.2004683,125,1135.0
1629277567.7976475,126,1060.0
1629277969.8097432,127,1080.0
1629278358.729638,128,1123.0
1629278769.8741395,129,1114.0
1629279175.7663395,130,1101.0
1629279597.4812078,131,1108.0
1629279986.1544049,132,1086.0
1629280387.978816,133,1094.0
1629280822.5327795,134,1121.0
1629281228.8249502,135,1071.0
1629281642.2015986,136,1100.0
1629282025.2761552,137,1114.0
1629282438.45912,138,1119.0
1629282846.2114558,139,1079.0
1629283253.4212444,140,1091.0
1629283648.062675,141,1099.0
1629284071.007033,142,1123.0
1629284467.0938714,143,1099.0
1629284825.9882562,144,1065.0
1629285241.4123356,145,1118.0
1629285658.0843055,146,1116.0
1629286066.7155979,147,1096.0
1629286442.1139593,148,1090.0
1629286826.8373797,149,1106.0
1629287228.8322687,150,1099.0
1629287612.3887773,151,1071.0
1629288003.2609978,152,1120.0
1629288395.9474008,153,1101.0
1629288781.5347662,154,1082.0
1629289117.0347257,155,1122.0
1629289496.551675,156,1094.0
1629289890.8721693,157,1098.0
1629290261.3297985,158,1101.0
1629290657.119512,159,1089.0
1629291043.9584632,160,1115.0
1629291393.6149867,161,1083.0
1629291747.7775848,162,1120.0
1629292152.0380228,163,1069.0
1629292554.4746654,164,1114.0
1629292962.955884,165,1137.0
1629293362.9365816,166,1072.0
1629293717.0604613,167,1093.0
1629294120.5197895,168,1094.0
1629294506.4970226,169,1125.0
1629294863.7671719,170,1099.0
1629295258.6687133,171,1084.0
1629295676.1536658,172,1100.0
1629296058.220084,173,1119.0
1629296470.5792997,174,1092.0
1629296840.0034285,175,1099.0
1629297225.1177707,176,1115.0
1629297621.1891766,177,1089.0
1629297987.0662608,178,1060.0
1629298387.5543568,179,1131.0
1629298793.7062948,180,1105.0
1629299177.1649585,181,1118.0
1629299579.6495354,182,1104.0
1629299973.4203355,183,1074.0
1629300342.461866,184,1083.0
1629300681.8536916,185,1112.0
1629301064.350705,186,1092.0
1629301455.5560658,187,1107.0
1629301851.3545663,188,1104.0
1629302248.2598286,189,1104.0
1629302631.266613,190,1100.0
1629303004.273632,191,1087.0
1629303375.6854274,192,1125.0
1629303733.2201543,193,1080.0
1629304100.5099807,194,1079.0
1629304470.4578896,195,1127.0
1629304868.2428558,196,1083.0
1629305246.2869787,197,1109.0
1629305627.5911536,198,1127.0
1629306024.1610742,199,1086.0
1629306414.751425,200,1072.0
1629306804.2786305,201,1149.0
1629307176.0174017,202,1080.0
1629307561.6349492,203,1092.0
1629307937.948637,204,1118.0
1629308293.9857543,205,1076.0
1629308690.3908575,206,1115.0
1629309046.3205535,207,1076.0
1629309417.2723968,208,1116.0
1629309795.3443859,209,1073.0
1629310150.263149,210,1131.0
1629310494.9423847,211,1074.0
1629310894.9737105,212,1122.0
1629311274.0873458,213,1079.0
1629311658.5302625,214,1122.0
1629312049.27492,215,1093.0
1629312429.0001645,216,1096.0
1629312767.3806736,217,1122.0
1629313141.698328,218,1078.0
1629313525.720911,219,1104.0
1629313901.2062228,220,1104.0
1629314276.6716144,221,1087.0
1629314636.0230606,222,1121.0
1629314995.4069316,223,1086.0
1629315383.2369084,224,1104.0
1629315761.335406,225,1086.0
1629316146.0433927,226,1125.0
1629316500.5174313,227,1059.0
1629316861.7576275,228,1110.0
1629317253.6439362,229,1094.0
1629317632.8115523,230,1149.0
1629318013.393263,231,1081.0
1629318400.2559175,232,1092.0
1629318769.00647,233,1106.0
1629319148.926781,234,1088.0
1629319520.5062187,235,1078.0
1629319888.1961503,236,1126.0
1629320268.6159196,237,1103.0
1629320659.4566476,238,1078.0
1629321058.4334652,239,1128.0
1629321445.9824567,240,1081.0
1629321812.929297,241,1109.0
1629322180.312442,242,1094.0
1629322519.6497707,243,1098.0
1629322900.2578719,244,1119.0
1629323256.7691085,245,1090.0
1629323633.3859575,246,1074.0
1629323968.7624338,247,1111.0
1629324348.3997812,248,1084.0
1629324724.7566414,249,1117.0
1629325103.1477456,250,1096.0
1629325447.230756,251,1117.0
1629325835.0913901,252,1102.0
1629326213.6002405,253,1084.0
1629326579.332104,254,1101.0
1629326970.100749,255,1117.0
1629327341.0347748,256,1081.0
1629327697.9288332,257,1064.0
1629328046.2860951,258,1139.0
1629328410.6023443,259,1096.0
1629328765.853318,260,1091.0
1629329140.9633543,261,1088.0
1629329488.0951488,262,1116.0
1629329868.465405,263,1100.0
1629330230.8478756,264,1072.0
1629330617.930297,265,1158.0
1629330979.5359921,266,1080.0
1629331351.8200793,267,1092.0
1629331723.0545855,268,1100.0
1629332098.5662024,269,1107.0
1629332470.0654337,270,1089.0
1629332849.3020823,271,1113.0
1629333230.594881,272,1090.0
1629333610.7050264,273,1114.0
1629333978.4772027,274,1104.0
1629334341.7885728,275,1064.0
1629334732.4803495,276,1112.0
1629335077.6404078,277,1089.0
1629335463.0903027,278,1108.0
1629335839.1535869,279,1116.0
1629336199.7957144,280,1117.0
1629336580.2378676,281,1079.0
1629336983.67771,282,1105.0
1629337409.0834546,283,1084.0
1629337813.6749854,284,1113.0
1629338195.227632,285,1092.0
1629338563.020318,286,1097.0
1629338942.5384445,287,1116.0
1629339320.1449049,288,1104.0
1629339681.4293797,289,1088.0
1629340042.99085,290,1092.0
1629340416.4293485,291,1112.0
1629340783.3450155,292,1098.0
1629341156.419222,293,1107.0
1629341523.1234033,294,1123.0
1629341861.5960755,295,1039.0
1629342253.3471997,296,1129.0
1629342614.7603755,297,1105.0
1629342981.1713583,298,1093.0
1629343347.697571,299,1106.0
1629343702.6680005,300,1094.0
1629344079.410594,301,1094.0
1629344437.3300176,302,1106.0
1629344811.8891354,303,1096.0
1629345166.5486848,304,1096.0
1629345536.248493,305,1091.0
1629345893.4856422,306,1103.0
1629346233.1497126,307,1092.0
1629346613.4894025,308,1114.0
1629346982.4017692,309,1109.0
1629347350.3114555,310,1093.0
1629347719.099455,311,1098.0
1629348096.9445696,312,1085.0
1629348449.6809351,313,1087.0
1629348828.5527225,314,1134.0
1629349191.9768596,315,1086.0
1629349565.3828735,316,1105.0
1629349932.1157432,317,1082.0
1629350299.081881,318,1123.0
1629350678.5474527,319,1103.0
1629351016.3945067,320,1110.0
1629351373.6304479,321,1092.0
1629351729.8974478,322,1095.0
1629352080.1869934,323,1101.0
1629352447.0098476,324,1104.0
1629352808.6416452,325,1123.0
1629353152.9430928,326,1077.0
1629353494.2449207,327,1089.0
1629353876.9556262,328,1104.0
