Wall time,Step,Value
1629386123.960604,0,663.0
1629386585.7141511,1,717.0
1629387033.00403,2,742.0
1629387437.5352874,3,759.0
1629387692.1751907,4,472.0
1629387960.833235,5,557.0
1629388152.0034113,6,409.0
1629388328.0840223,7,371.0
1629388540.7150974,8,494.0
1629388661.5545802,9,275.0
1629388877.7990813,10,583.0
1629389095.0909436,11,585.0
1629389441.8939238,12,1001.0
1629389754.4036381,13,837.0
1629389909.0031066,14,430.0
1629390040.8189976,15,376.0
1629390226.8738363,16,525.0
1629390387.2439709,17,452.0
1629390527.2248647,18,369.0
1629390674.5974882,19,476.0
1629390845.479987,20,445.0
1629391087.3188603,21,764.0
1629391378.345026,22,867.0
1629391600.7148244,23,714.0
1629391811.599722,24,749.0
1629392038.0641766,25,932.0
1629392358.6898618,26,1123.0
1629392594.510678,27,843.0
1629392802.9488544,28,786.0
1629393025.3284461,29,971.0
1629393238.1770964,30,1118.0
1629393438.7702534,31,1110.0
1629393620.2215207,32,1088.0
1629393803.0547092,33,1107.0
1629393995.1701665,34,1103.0
1629394179.9815009,35,1100.0
1629394349.7175925,36,1108.0
1629394526.8465545,37,1096.0
1629394703.7991488,38,1104.0
1629394876.369513,39,1083.0
1629395059.1969943,40,1121.0
1629395240.9928257,41,1095.0
1629395407.3009586,42,1099.0
1629395573.9731243,43,1106.0
1629395738.5203915,44,1098.0
1629395899.934003,45,1102.0
1629396057.7800317,46,1101.0
1629396205.7405777,47,1116.0
1629396343.0517626,48,1093.0
1629396491.2616982,49,1089.0
1629396638.7885184,50,1108.0
1629396785.5621128,51,1096.0
1629396927.7383957,52,1101.0
1629397068.542462,53,1107.0
1629397211.323569,54,1105.0
1629397353.9305575,55,1098.0
1629397495.7311254,56,1099.0
1629397630.0927439,57,1099.0
1629397769.151025,58,1094.0
1629397906.9311926,59,1101.0
1629398048.108826,60,1097.0
1629398182.4375994,61,1110.0
1629398315.884401,62,1104.0
1629398453.3581758,63,1095.0
1629398588.220985,64,1108.0
1629398720.5935597,65,1076.0
