Wall time,Step,Value
1629263145.0617688,0,169.0
1629263458.6281338,1,151.0
1629263765.2657292,2,171.0
1629264084.467521,3,165.0
1629264410.5227084,4,150.0
1629264760.8693461,5,173.0
1629265107.6406312,6,130.0
1629265457.5584729,7,145.0
1629265799.3019226,8,102.0
1629266149.043158,9,120.0
1629266521.7448833,10,123.0
1629266884.1590908,11,97.0
1629267256.548131,12,104.0
1629267607.286114,13,100.0
1629267969.3301208,14,101.0
1629268337.1377175,15,144.0
1629268700.3070433,16,140.0
1629269083.2135127,17,165.0
1629269433.757644,18,114.0
1629269748.2677095,19,145.0
1629270111.5030024,20,151.0
1629270470.8867157,21,121.0
1629270824.0487528,22,143.0
1629271159.8715577,23,112.0
1629271522.811387,24,136.0
1629271871.583902,25,127.0
1629272215.3145027,26,133.0
1629272564.9070694,27,134.0
1629272907.4921863,28,117.0
1629273239.198101,29,129.0
1629273570.613609,30,143.0
1629273931.9895585,31,170.0
1629274273.3064919,32,170.0
1629274633.8518786,33,163.0
1629274986.1824975,34,174.0
1629275306.3164515,35,182.0
1629275633.183013,36,159.0
1629275955.429015,37,232.0
1629276270.1618853,38,165.0
1629276571.8948357,39,172.0
1629276912.6036153,40,175.0
1629277257.7489972,41,151.0
1629277605.339097,42,139.0
1629277903.7580445,43,171.0
1629278260.1072538,44,201.0
1629278577.165405,45,138.0
1629278927.9728487,46,190.0
1629279278.7292142,47,108.0
1629279619.592031,48,168.0
1629279976.684018,49,153.0
1629280323.7407176,50,180.0
1629280681.548884,51,184.0
1629281056.774789,52,204.0
1629281413.1237335,53,86.0
1629281770.9917686,54,116.0
1629282145.3634315,55,135.0
1629282492.8711376,56,174.0
1629282868.768002,57,174.0
1629283234.0609217,58,146.0
1629283615.4869232,59,154.0
1629283997.7497885,60,148.0
1629284337.3478563,61,132.0
1629284707.092342,62,254.0
1629285045.2641113,63,220.0
1629285465.932126,64,258.0
1629285862.48124,65,167.0
1629286258.6207602,66,145.0
1629286645.6828384,67,157.0
1629287024.9189167,68,187.0
1629287402.4155445,69,208.0
1629287813.4580975,70,267.0
1629288195.522926,71,251.0
1629288578.2009428,72,237.0
1629288952.3915548,73,288.0
1629289326.6854694,74,256.0
1629289724.03261,75,177.0
1629290139.678113,76,217.0
1629290533.7321415,77,187.0
1629290945.3187659,78,188.0
1629291372.8112762,79,209.0
1629291763.4160323,80,184.0
1629292146.0851645,81,249.0
1629292535.6681538,82,276.0
1629292895.2594335,83,220.0
1629293271.9447258,84,424.0
1629293653.5317602,85,313.0
1629294008.9492757,86,258.0
1629294400.4121232,87,247.0
1629294783.1880686,88,224.0
1629295171.9784274,89,152.0
1629295538.0095918,90,159.0
1629295915.7585611,91,253.0
1629296315.4353907,92,289.0
1629296686.8964186,93,221.0
1629297113.087138,94,280.0
1629297535.9864876,95,331.0
1629297958.3509736,96,287.0
1629298367.0068073,97,287.0
1629298779.4695158,98,311.0
1629299205.5926416,99,300.0
1629299647.972832,100,290.0
1629300082.6407387,101,333.0
1629300510.2950811,102,321.0
1629300917.3179905,103,194.0
1629301327.7974331,104,349.0
1629301764.1694741,105,455.0
1629302153.4178114,106,459.0
1629302589.4235559,107,427.0
1629303028.2518256,108,418.0
1629303455.9483364,109,369.0
1629303847.5430222,110,341.0
1629304278.6188593,111,584.0
1629304681.5162923,112,503.0
1629305098.2054772,113,572.0
1629305529.826093,114,705.0
1629305936.1674023,115,574.0
1629306355.8182738,116,567.0
1629306751.1598299,117,491.0
1629307149.8905818,118,518.0
1629307571.2660286,119,461.0
1629308003.8248606,120,435.0
1629308442.3321106,121,374.0
1629308884.4365304,122,450.0
1629309312.359039,123,686.0
1629309736.532827,124,671.0
1629310159.7918446,125,542.0
1629310622.2976027,126,579.0
1629311047.9062557,127,622.0
1629311509.5969796,128,617.0
1629311950.4189153,129,490.0
1629312349.2265105,130,684.0
1629312790.9960437,131,561.0
1629313209.0694335,132,655.0
1629313623.1643486,133,653.0
1629314051.5665739,134,605.0
1629314486.7680779,135,555.0
1629314899.7332063,136,527.0
1629315370.1884758,137,510.0
1629315801.6384068,138,453.0
1629316219.5720227,139,462.0
1629316651.2764518,140,672.0
1629317086.2213898,141,725.0
1629317514.0287402,142,745.0
1629317922.1132152,143,761.0
1629318335.4905357,144,649.0
1629318744.604284,145,767.0
1629319132.6495967,146,823.0
1629319491.9564528,147,824.0
1629319849.3799968,148,602.0
1629320203.6739502,149,678.0
1629320554.1687171,150,539.0
1629320934.2265277,151,475.0
1629321334.8225214,152,599.0
1629321706.5563977,153,791.0
1629322118.0265827,154,986.0
1629322466.8099484,155,1055.0
1629322839.165438,156,1080.0
1629323205.9104948,157,1030.0
1629323590.2662275,158,1054.0
1629323967.2981868,159,1061.0
1629324355.3114326,160,1085.0
1629324730.7678068,161,1098.0
1629325056.8036294,162,1112.0
1629325407.025722,163,1067.0
1629325752.2243667,164,1076.0
1629326084.0386455,165,1154.0
1629326426.0704372,166,1068.0
1629326789.3101377,167,1083.0
1629327113.9403615,168,1073.0
1629327454.7861347,169,1117.0
1629327776.3558118,170,1069.0
1629328111.28748,171,1133.0
1629328417.9515269,172,1073.0
1629328754.0334184,173,1099.0
1629329089.821628,174,1129.0
1629329416.6081462,175,1074.0
1629329750.7758217,176,1080.0
1629330076.1509843,177,1138.0
1629330427.3194067,178,1036.0
1629330760.8000758,179,1143.0
1629331095.5423741,180,1097.0
1629331400.3016107,181,1138.0
1629331737.6019082,182,1094.0
1629332033.1848266,183,1099.0
1629332355.4070177,184,1100.0
1629332657.5737867,185,1080.0
1629332965.382912,186,1073.0
1629333320.6586936,187,1078.0
1629333674.4456587,188,1091.0
1629334040.7637103,189,1070.0
1629334413.6089914,190,1123.0
1629334765.6168609,191,1088.0
1629335077.0229414,192,1130.0
1629335396.1203625,193,1077.0
1629335734.5857956,194,1086.0
1629336052.8694038,195,1118.0
1629336358.9157212,196,1087.0
1629336670.1668344,197,1137.0
1629336958.0724933,198,1103.0
1629337238.9071133,199,1094.0
1629337531.9331245,200,1080.0
1629337826.3524022,201,1124.0
1629338115.345712,202,1090.0
1629338412.0786202,203,1091.0
1629338731.025867,204,1103.0
1629339045.9214637,205,1098.0
1629339340.5483472,206,1107.0
1629339661.8592336,207,1095.0
1629340005.941815,208,1036.0
1629340329.426502,209,1093.0
1629340653.1305664,210,1119.0
1629340997.0030127,211,1093.0
1629341346.0761786,212,1091.0
1629341689.693345,213,1121.0
1629342004.0838203,214,1092.0
1629342346.6318755,215,1103.0
1629342663.369295,216,1094.0
1629342936.7865884,217,1119.0
1629343229.4630704,218,1082.0
1629343535.5035388,219,1107.0
1629343810.9983225,220,1107.0
1629344111.4677875,221,1062.0
1629344427.9076252,222,1141.0
1629344731.9613826,223,1107.0
1629345043.11978,224,1073.0
1629345331.495843,225,1110.0
1629345633.722054,226,1125.0
1629345947.4710224,227,1056.0
1629346231.5594232,228,1113.0
1629346518.80457,229,1100.0
1629346800.1330369,230,1130.0
1629347088.5810454,231,1109.0
1629347387.7375517,232,1060.0
1629347689.2396958,233,1116.0
1629347983.9957893,234,1096.0
1629348296.7684898,235,1092.0
1629348580.3881814,236,1078.0
1629348869.810843,237,1136.0
1629349193.5962584,238,1099.0
1629349473.0361924,239,1106.0
1629349741.894215,240,1088.0
1629350013.7915359,241,1106.0
1629350294.7033763,242,1078.0
1629350605.2185054,243,1097.0
1629350902.8304636,244,1131.0
1629351178.3119326,245,1085.0
1629351501.3567376,246,1076.0
1629351810.114241,247,1105.0
1629352120.092257,248,1097.0
1629352405.5964823,249,1117.0
1629352703.6468947,250,1094.0
1629353013.819626,251,1108.0
1629353323.8568006,252,1109.0
1629353631.1327295,253,1104.0
1629353913.3582451,254,1091.0
1629354195.8504064,255,1098.0
1629354479.1718643,256,1096.0
1629354786.1063979,257,1076.0
1629355077.1575055,258,1115.0
1629355367.4860568,259,1107.0
1629355675.9137352,260,1084.0
1629355952.2980955,261,1116.0
1629356220.6071444,262,1093.0
1629356514.1251364,263,1088.0
1629356803.7445307,264,1105.0
1629357081.1301527,265,1149.0
1629357359.8577895,266,1048.0
1629357649.4169798,267,1095.0
1629357952.7394865,268,1113.0
1629358251.4666896,269,1125.0
1629358529.7701712,270,1086.0
1629358828.9522862,271,1115.0
1629359116.3962822,272,1094.0
1629359413.0194242,273,1067.0
1629359717.0059526,274,1139.0
1629360008.8428416,275,1073.0
1629360303.5990257,276,1093.0
1629360595.8256624,277,1081.0
1629360895.3584995,278,1117.0
1629361192.091268,279,1132.0
1629361466.2432199,280,1122.0
1629361773.5740318,281,1066.0
1629362058.4787884,282,1086.0
1629362350.0553498,283,1105.0
1629362658.6677086,284,1086.0
1629362943.0349555,285,1107.0
1629363210.3196995,286,1100.0
1629363491.0687785,287,1121.0
1629363798.9831038,288,1089.0
1629364095.2766747,289,1116.0
1629364366.4715793,290,1079.0
1629364663.8930502,291,1108.0
1629364935.6475918,292,1123.0
1629365228.6326163,293,1085.0
1629365509.2583473,294,1116.0
1629365771.275656,295,1076.0
1629366066.7336714,296,1104.0
1629366356.6129873,297,1103.0
1629366639.105307,298,1093.0
1629366910.393393,299,1112.0
1629367162.344356,300,1080.0
1629367451.9290214,301,1117.0
1629367702.7136571,302,1105.0
1629367969.3709686,303,1085.0
1629368238.549663,304,1118.0
1629368515.6427612,305,1079.0
1629368773.89213,306,1094.0
1629369042.612818,307,1102.0
1629369314.2468064,308,1097.0
1629369587.1502855,309,1116.0
1629369872.6509922,310,1083.0
1629370140.347172,311,1118.0
1629370408.2506313,312,1083.0
1629370668.1988544,313,1094.0
1629370942.666711,314,1121.0
1629371210.3118923,315,1098.0
1629371473.7046957,316,1116.0
1629371757.3634572,317,1063.0
1629372059.9098015,318,1118.0
1629372340.1083555,319,1105.0
1629372604.7812395,320,1115.0
1629372888.7918563,321,1085.0
1629373162.901994,322,1109.0
1629373427.1292636,323,1085.0
1629373703.0953166,324,1105.0
1629373980.989767,325,1101.0
1629374249.4060206,326,1118.0
1629374503.31304,327,1080.0
1629374782.564551,328,1118.0
1629375031.3690147,329,1078.0
1629375299.8105972,330,1109.0
1629375575.9822454,331,1094.0
1629375833.6224809,332,1085.0
1629376103.6542666,333,1105.0
1629376367.6104903,334,1114.0
1629376637.4744918,335,1081.0
1629376893.643702,336,1096.0
1629377158.4028454,337,1136.0
1629377422.4840698,338,1074.0
1629377700.5123203,339,1106.0
1629377975.4416783,340,1109.0
1629378243.176071,341,1083.0
1629378521.3793807,342,1100.0
1629378810.6298199,343,1103.0
1629379082.7384062,344,1083.0
1629379359.571838,345,1102.0
1629379628.4286475,346,1106.0
1629379897.4010575,347,1129.0
1629380169.1728919,348,1068.0
1629380435.6818883,349,1110.0
1629380712.3663468,350,1103.0
1629381034.6686676,351,1076.0
1629381318.1688473,352,1126.0
1629381606.2872374,353,1052.0
1629381886.8970895,354,1142.0
1629382148.023898,355,1094.0
1629382430.2529037,356,1115.0
1629382710.2418902,357,1124.0
1629382968.404741,358,1093.0
1629383257.7353776,359,1047.0
1629383552.6813023,360,1122.0
1629383827.617981,361,1097.0
1629384113.4778738,362,1082.0
1629384389.4348142,363,1111.0
1629384650.5659723,364,1118.0
1629384918.814869,365,1100.0
1629385174.172746,366,1075.0
1629385449.3080745,367,1099.0
1629385709.1249566,368,1111.0
1629385988.297079,369,1093.0
1629386284.4031198,370,1104.0
1629386556.3317447,371,1121.0
1629386839.0446072,372,1083.0
1629387112.0378213,373,1096.0
1629387381.3433306,374,1102.0
1629387649.4608386,375,1101.0
1629387914.9844708,376,1109.0
1629388176.1791396,377,1103.0
1629388446.524757,378,1081.0
1629388735.9987407,379,1083.0
1629389031.2557323,380,1153.0
1629389306.3665664,381,1052.0
1629389580.0420673,382,1123.0
1629389869.7039022,383,1100.0
1629390151.6153965,384,1074.0
1629390421.692254,385,1110.0
1629390670.3314726,386,1119.0
1629390942.25717,387,1093.0
1629391219.5698836,388,1101.0
1629391486.1748838,389,1072.0
1629391756.5487814,390,1120.0
1629392056.1438375,391,1127.0
1629392334.6144605,392,1094.0
1629392610.2665286,393,1096.0
1629392872.3130374,394,1079.0
1629393154.9553685,395,1103.0
1629393414.4449465,396,1094.0
1629393669.4562922,397,1123.0
1629393924.7101374,398,1077.0
1629394210.995695,399,1110.0
1629394479.05163,400,1099.0
1629394743.7402573,401,1090.0
1629395005.1775272,402,1107.0
1629395289.3740637,403,1106.0
1629395552.607705,404,1088.0
1629395863.130423,405,1082.0
1629396133.7358825,406,1121.0
1629396404.632938,407,1092.0
1629396687.88395,408,1112.0
1629396964.084622,409,1096.0
1629397235.299021,410,1095.0
1629397508.6869166,411,1107.0
1629397792.1140263,412,1073.0
1629398082.2645311,413,1117.0
1629398347.2553945,414,1081.0
1629398627.0142925,415,1122.0
1629398876.5167172,416,1123.0
1629399159.6415708,417,1055.0
1629399437.2583225,418,1116.0
1629399702.5020065,419,1123.0
1629399953.0755043,420,1068.0
1629400210.3660595,421,1104.0
1629400474.7924888,422,1125.0
1629400758.8487587,423,1075.0
1629401029.7959235,424,1120.0
1629401313.5552173,425,1077.0
1629401594.450017,426,1104.0
1629401879.2227879,427,1110.0
1629402148.2007632,428,1099.0
1629402411.2490373,429,1121.0
1629402674.9637964,430,1047.0
1629402941.5156136,431,1129.0
1629403200.4408743,432,1083.0
1629403484.7826965,433,1110.0
1629403738.0786161,434,1101.0
1629403992.678255,435,1104.0
1629404264.0990827,436,1092.0
1629404524.540602,437,1087.0
1629404822.1307359,438,1098.0
1629405108.1101036,439,1109.0
1629405383.6854336,440,1115.0
1629405643.7050843,441,1104.0
1629405910.7277393,442,1085.0
1629406190.49335,443,1083.0
1629406444.4160857,444,1127.0
1629406706.3115761,445,1085.0
1629406977.3112686,446,1121.0
1629407249.6169646,447,1074.0
1629407539.5217655,448,1098.0
1629407814.853528,449,1114.0
1629408102.986486,450,1073.0
1629408377.9460247,451,1108.0
1629408656.3244576,452,1070.0
1629408936.8422832,453,1131.0
1629409209.9020388,454,1088.0
1629409481.828913,455,1109.0
1629409759.6327384,456,1116.0
1629410013.790024,457,1066.0
1629410295.0102842,458,1124.0
1629410581.2042708,459,1092.0
1629410851.8444598,460,1115.0
1629411127.9953141,461,1096.0
1629411393.751514,462,1101.0
1629411676.365359,463,1110.0
1629411936.0160618,464,1083.0
1629412171.0609758,465,1099.0
1629412436.6528785,466,1107.0
1629412695.2137072,467,1087.0
1629412955.210124,468,1072.0
1629413222.444148,469,1099.0
1629413503.8828003,470,1138.0
1629413789.5731122,471,1104.0
1629414026.247588,472,1086.0
1629414315.0710974,473,1093.0
1629414614.7173576,474,1075.0
1629414910.2509787,475,1130.0
1629415174.585167,476,1085.0
1629415440.1271815,477,1076.0
1629415714.2710881,478,1141.0
1629415981.4108996,479,1085.0
1629416248.4654806,480,1106.0
1629416501.0390956,481,1095.0
1629416766.4021795,482,1102.0
1629417029.2938986,483,1071.0
1629417315.765368,484,1111.0
1629417574.5323505,485,1107.0
1629417846.7057922,486,1103.0
1629418120.0646083,487,1121.0
1629418397.0357382,488,1081.0
1629418655.5264423,489,1111.0
1629418946.926846,490,1091.0
1629419212.169872,491,1107.0
1629419466.4777842,492,1112.0
1629419726.0107062,493,1047.0
1629419991.9725702,494,1136.0
1629420265.1313815,495,1101.0
1629420525.268261,496,1092.0
1629420811.002408,497,1090.0
1629421073.6047947,498,1094.0
1629421347.040196,499,1128.0
1629421609.580096,500,1065.0
1629421883.1401613,501,1094.0
1629422149.2062278,502,1146.0
1629422418.4335492,503,1079.0
1629422694.8747046,504,1101.0
1629422963.802958,505,1111.0
1629423237.4922853,506,1075.0
1629423502.3589842,507,1086.0
1629423771.5937624,508,1130.0
1629424050.0673833,509,1082.0
1629424311.64935,510,1116.0
1629424579.349663,511,1100.0
1629424847.3629317,512,1111.0
1629425104.9751732,513,1076.0
1629425357.8480363,514,1077.0
1629425618.5586584,515,1130.0
1629425890.9572866,516,1080.0
1629426163.4933586,517,1120.0
1629426431.1927109,518,1099.0
1629426688.19816,519,1074.0
1629426953.0356367,520,1124.0
1629427221.0145853,521,1074.0
1629427491.5802608,522,1111.0
1629427757.187294,523,1089.0
1629428028.8569493,524,1124.0
1629428272.3567793,525,1107.0
1629428533.3781292,526,1082.0
1629428806.542332,527,1089.0
1629429069.9268832,528,1121.0
1629429359.2398965,529,1092.0
1629429647.3981035,530,1100.0
1629429916.132849,531,1071.0
1629430186.2524688,532,1119.0
1629430448.766455,533,1102.0
1629430725.7502756,534,1110.0
1629430981.1079102,535,1072.0
1629431253.0323653,536,1114.0
1629431511.2207124,537,1116.0
1629431765.8365874,538,1099.0
1629432030.3395917,539,1067.0
1629432283.9047458,540,1130.0
1629432553.7012277,541,1082.0
1629432793.7558823,542,1113.0
1629433061.317727,543,1091.0
1629433321.204051,544,1117.0
1629433587.434942,545,1080.0
1629433859.915563,546,1088.0
1629434121.9033747,547,1115.0
1629434382.8180208,548,1106.0
1629434641.2540429,549,1084.0
1629434901.7748303,550,1107.0
1629435182.2719135,551,1072.0
1629435439.0880296,552,1116.0
1629435694.8666558,553,1118.0
1629435951.6299918,554,1088.0
