Wall time,Step,Value
1629263326.302579,0,164.0
1629263638.4136887,1,157.0
1629263951.3610108,2,189.0
1629264260.668794,3,175.0
1629264569.2041297,4,149.0
1629264942.5260987,5,175.0
1629265311.55741,6,143.0
1629265680.5936387,7,148.0
1629266034.5250707,8,125.0
1629266412.7939377,9,126.0
1629266750.1376379,10,123.0
1629267125.898515,11,134.0
1629267478.1372285,12,121.0
1629267823.990687,13,144.0
1629268201.8782437,14,117.0
1629268564.735203,15,139.0
1629268924.8001995,16,148.0
1629269280.1049776,17,133.0
1629269624.339505,18,129.0
1629269976.1963317,19,104.0
1629270333.2544107,20,147.0
1629270697.767897,21,139.0
1629271022.9263515,22,119.0
1629271375.4763784,23,148.0
1629271755.315195,24,157.0
1629272112.5022066,25,120.0
1629272445.6405313,26,102.0
1629272814.9936619,27,92.0
1629273141.5710564,28,116.0
1629273529.1966171,29,141.0
1629273864.756384,30,145.0
1629274207.0143445,31,110.0
1629274541.2842362,32,161.0
1629274904.976582,33,151.0
1629275254.0468867,34,155.0
1629275572.6555805,35,142.0
1629275849.8205917,36,127.0
1629276169.0353918,37,150.0
1629276496.235686,38,144.0
1629276816.372824,39,120.0
1629277139.9874692,40,148.0
1629277466.853097,41,190.0
1629277789.1838481,42,188.0
1629278101.646489,43,165.0
1629278447.308409,44,185.0
1629278794.5227284,45,196.0
1629279127.4796946,46,183.0
1629279483.6938174,47,164.0
1629279841.3546743,48,109.0
1629280189.7595298,49,157.0
1629280511.1921306,50,121.0
1629280822.3445537,51,195.0
1629281168.7602363,52,189.0
1629281491.9231153,53,175.0
1629281837.8760238,54,221.0
1629282183.8794465,55,200.0
1629282502.46715,56,203.0
1629282866.916452,57,214.0
1629283230.4525084,58,227.0
1629283594.8677764,59,146.0
1629283919.3658595,60,168.0
1629284236.9220417,61,181.0
1629284587.3484175,62,215.0
1629284927.4747717,63,186.0
1629285266.6046426,64,228.0
1629285589.5099266,65,301.0
1629285930.3724437,66,195.0
1629286263.0244875,67,98.0
1629286578.4274132,68,164.0
1629286894.6258423,69,267.0
1629287196.29364,70,219.0
1629287556.7889066,71,264.0
1629287876.3204796,72,227.0
1629288240.4644728,73,261.0
1629288569.5611422,74,310.0
1629288873.0357401,75,221.0
1629289211.3335526,76,255.0
1629289523.9305544,77,211.0
1629289862.4796402,78,256.0
1629290200.0336096,79,284.0
1629290546.836385,80,188.0
1629290868.064633,81,227.0
1629291247.4256418,82,237.0
1629291563.6143277,83,263.0
1629291883.4169462,84,263.0
1629292209.7564523,85,279.0
1629292556.9817908,86,299.0
1629292898.1531491,87,238.0
1629293217.441121,88,252.0
1629293524.8166986,89,302.0
1629293891.9153938,90,351.0
1629294221.72738,91,349.0
1629294542.517332,92,314.0
